epoch,train_loss,train_cla_loss,train_reg_loss,test_loss,test_cla_loss,test_reg_loss,test_classification_metrics
15,2.8510061155043505,0.08355827449071737,2.767447838227809,1.8641545248231781,0.0589675910930747,1.8051869531475098,"{'accuracy': 0.9738651994497937, 'precision': 0.8531746031746031, 'recall': 0.9534368070953437, 'f1': 0.9005235602094241, 'pka_atom_accuracy': 0.9534368070953437, 'confusion_matrix': {'tn': 3110, 'fp': 74, 'fn': 21, 'tp': 430}}"
16,2.8263910509461025,0.07731948351132009,2.7490715713546074,1.9011651907418508,0.05493067689574456,1.8462345209580833,"{'accuracy': 0.9771664374140303, 'precision': 0.8650793650793651, 'recall': 0.9667405764966741, 'f1': 0.9130890052356021, 'pka_atom_accuracy': 0.9667405764966741, 'confusion_matrix': {'tn': 3116, 'fp': 68, 'fn': 15, 'tp': 436}}"
17,2.553326248813776,0.07292170441306443,2.4804045368375007,1.8603820837565017,0.061618972557975646,1.7987631032844162,"{'accuracy': 0.9730398899587345, 'precision': 0.8349146110056926, 'recall': 0.975609756097561, 'f1': 0.899795501022495, 'pka_atom_accuracy': 0.975609756097561, 'confusion_matrix': {'tn': 3097, 'fp': 87, 'fn': 11, 'tp': 440}}"
18,2.568960003021124,0.07279371774808412,2.4961662826439883,1.9112370268501682,0.055368587800927994,1.855868448544908,"{'accuracy': 0.9768913342503439, 'precision': 0.8535645472061657, 'recall': 0.9822616407982262, 'f1': 0.9134020618556701, 'pka_atom_accuracy': 0.9822616407982262, 'confusion_matrix': {'tn': 3108, 'fp': 76, 'fn': 8, 'tp': 443}}"
19,2.409968116788019,0.0705032419312581,2.3394648806855534,1.8276653312335187,0.05390553770362814,1.7737597892258088,"{'accuracy': 0.9782668500687758, 'precision': 0.872, 'recall': 0.9667405764966741, 'f1': 0.9169295478443744, 'pka_atom_accuracy': 0.9667405764966741, 'confusion_matrix': {'tn': 3120, 'fp': 64, 'fn': 15, 'tp': 436}}"
20,2.429457861071242,0.07129391400931735,2.3581639525544826,1.7998612691084037,0.05459308532004092,1.7452681735053925,"{'accuracy': 0.9785419532324622, 'precision': 0.879837067209776, 'recall': 0.9578713968957872, 'f1': 0.9171974522292994, 'pka_atom_accuracy': 0.9578713968957872, 'confusion_matrix': {'tn': 3125, 'fp': 59, 'fn': 19, 'tp': 432}}"
21,2.3027482580167744,0.07004537174907625,2.232702882918567,1.7974870393550937,0.05601913583549463,1.74146790366184,"{'accuracy': 0.9771664374140303, 'precision': 0.868, 'recall': 0.9623059866962306, 'f1': 0.9127234490010515, 'pka_atom_accuracy': 0.9623059866962306, 'confusion_matrix': {'tn': 3118, 'fp': 66, 'fn': 17, 'tp': 434}}"
22,2.2164207382890058,0.06799102762035003,2.148429714156693,1.8039080429760959,0.05789740476037837,1.7460106293804107,"{'accuracy': 0.9749656121045392, 'precision': 0.8488372093023255, 'recall': 0.9711751662971175, 'f1': 0.905894519131334, 'pka_atom_accuracy': 0.9711751662971175, 'confusion_matrix': {'tn': 3106, 'fp': 78, 'fn': 13, 'tp': 438}}"
23,2.305633643799539,0.06715883041154674,2.238474812550393,1.8825425628165249,0.055453211929054655,1.8270893596634459,"{'accuracy': 0.9746905089408529, 'precision': 0.8526522593320236, 'recall': 0.9623059866962306, 'f1': 0.9041666666666667, 'pka_atom_accuracy': 0.9623059866962306, 'confusion_matrix': {'tn': 3109, 'fp': 75, 'fn': 17, 'tp': 434}}"
24,2.138759450435118,0.06577794354695145,2.0729815025873526,1.7866187560986275,0.052733584304039155,1.733885180514827,"{'accuracy': 0.9760660247592847, 'precision': 0.864, 'recall': 0.9578713968957872, 'f1': 0.9085173501577287, 'pka_atom_accuracy': 0.9578713968957872, 'confusion_matrix': {'tn': 3116, 'fp': 68, 'fn': 19, 'tp': 432}}"
