epoch,train_loss,train_cla_loss,train_reg_loss,test_loss,test_cla_loss,test_reg_loss,rmse_gt,rmse_hit,learning_rate,precision,recall,f1,test_classification_metrics
10,0.5410174181365989,0.27791172220485794,0.2631056964303112,0.3890138871988643,0.17985882235816053,0.2091550650254754,2.7382979671387,2.8657891712148924,3.4867844010000016e-05,0.5537918871252204,0.6962305986696231,0.6168958742632613,"{""accuracy"": 0.8927097661623109, ""precision"": 0.5537918871252204, ""recall"": 0.6962305986696231, ""f1"": 0.6168958742632613, ""pka_atom_accuracy"": 0.6962305986696231, ""rmse_gt"": 2.7382979671387, ""rmse_hit"": 2.8657891712148924, ""confusion_matrix"": {""tn"": 2931, ""fp"": 253, ""fn"": 137, ""tp"": 314}}"
11,0.517046750027432,0.25874334608027805,0.25830340441293087,0.37355553602744174,0.17546990255602815,0.1980856324847747,3.062200414834933,3.332211703101943,3.138105960900002e-05,0.5440414507772021,0.6984478935698448,0.6116504854368934,"{""accuracy"": 0.889958734525447, ""precision"": 0.5440414507772021, ""recall"": 0.6984478935698448, ""f1"": 0.6116504854368934, ""pka_atom_accuracy"": 0.6984478935698448, ""rmse_gt"": 3.062200414834933, ""rmse_hit"": 3.332211703101943, ""confusion_matrix"": {""tn"": 2920, ""fp"": 264, ""fn"": 136, ""tp"": 315}}"
12,0.4981501898366759,0.2392108392861643,0.25893934933058166,0.37141214418503,0.1712917863693672,0.2001203579379287,3.248187219795643,3.614494491203565,2.8242953648100018e-05,0.5630550621669627,0.7028824833702882,0.6252465483234713,"{""accuracy"": 0.8954607977991746, ""precision"": 0.5630550621669627, ""recall"": 0.7028824833702882, ""f1"": 0.6252465483234713, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.248187219795643, ""rmse_hit"": 3.614494491203565, ""confusion_matrix"": {""tn"": 2938, ""fp"": 246, ""fn"": 134, ""tp"": 317}}"
13,0.488623495057741,0.23525432768818844,0.2533691667357723,0.37968781992528977,0.16555382842163263,0.21413399202963862,2.9699661173316683,3.27969410656195,2.5418658283290016e-05,0.5701438848920863,0.7028824833702882,0.6295928500496525,"{""accuracy"": 0.8973865199449794, ""precision"": 0.5701438848920863, ""recall"": 0.7028824833702882, ""f1"": 0.6295928500496525, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 2.9699661173316683, ""rmse_hit"": 3.27969410656195, ""confusion_matrix"": {""tn"": 2945, ""fp"": 239, ""fn"": 134, ""tp"": 317}}"
14,0.4865944338788194,0.23039700621233727,0.25619742707406556,0.3669683187261724,0.1625208869774534,0.20444743236953994,3.2597526060910633,3.6421080094168405,2.2876792454961016e-05,0.568100358422939,0.7028824833702882,0.6283448959365708,"{""accuracy"": 0.8968363136176066, ""precision"": 0.568100358422939, ""recall"": 0.7028824833702882, ""f1"": 0.6283448959365708, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.2597526060910633, ""rmse_hit"": 3.6421080094168405, ""confusion_matrix"": {""tn"": 2943, ""fp"": 241, ""fn"": 134, ""tp"": 317}}"
15,0.46578176316244996,0.22126204830331256,0.24451971419316176,0.3570788276395691,0.16168143665209525,0.19539739105060908,3.5411102905075653,3.9967231441279623,2.0589113209464913e-05,0.5571177504393673,0.7028824833702882,0.6215686274509804,"{""accuracy"": 0.8938101788170564, ""precision"": 0.5571177504393673, ""recall"": 0.7028824833702882, ""f1"": 0.6215686274509804, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.5411102905075653, ""rmse_hit"": 3.9967231441279623, ""confusion_matrix"": {""tn"": 2932, ""fp"": 252, ""fn"": 134, ""tp"": 317}}"
16,0.45340309059378053,0.20379098171173962,0.24961210796996702,0.35145103819181783,0.15789988434546864,0.19355115300548822,3.67305785261374,4.162948373467565,1.8530201888518422e-05,0.5660714285714286,0.7028824833702882,0.6271018793273986,"{""accuracy"": 0.8962861072902338, ""precision"": 0.5660714285714286, ""recall"": 0.7028824833702882, ""f1"": 0.6271018793273986, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.67305785261374, ""rmse_hit"": 4.162948373467565, ""confusion_matrix"": {""tn"": 2941, ""fp"": 243, ""fn"": 134, ""tp"": 317}}"
17,0.44695922297402046,0.21758477270021212,0.22937444981066524,0.3466328545265011,0.1560256976179028,0.1906071557346678,3.8361540381696653,4.364356254309032,1.667718169966658e-05,0.5670840787119857,0.7028824833702882,0.6277227722772277,"{""accuracy"": 0.8965612104539202, ""precision"": 0.5670840787119857, ""recall"": 0.7028824833702882, ""f1"": 0.6277227722772277, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.8361540381696653, ""rmse_hit"": 4.364356254309032, ""confusion_matrix"": {""tn"": 2942, ""fp"": 242, ""fn"": 134, ""tp"": 317}}"
18,0.440423852514033,0.20712690033895026,0.2332969528808853,0.34011488906177345,0.15351173580353106,0.1866031534096304,3.9719362459780565,4.531838635325179,1.5009463529699922e-05,0.568100358422939,0.7028824833702882,0.6283448959365708,"{""accuracy"": 0.8968363136176066, ""precision"": 0.568100358422939, ""recall"": 0.7028824833702882, ""f1"": 0.6283448959365708, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.9719362459780565, ""rmse_hit"": 4.531838635325179, ""confusion_matrix"": {""tn"": 2943, ""fp"": 241, ""fn"": 134, ""tp"": 317}}"
19,0.45131093011628853,0.2153846716337948,0.2359262581429115,0.33993138255787764,0.15075818859840007,0.1891731944647833,3.842307339506191,4.371510012853736,1.350851717672993e-05,0.5701438848920863,0.7028824833702882,0.6295928500496525,"{""accuracy"": 0.8973865199449794, ""precision"": 0.5701438848920863, ""recall"": 0.7028824833702882, ""f1"": 0.6295928500496525, ""pka_atom_accuracy"": 0.7028824833702882, ""rmse_gt"": 3.842307339506191, ""rmse_hit"": 4.371510012853736, ""confusion_matrix"": {""tn"": 2945, ""fp"": 239, ""fn"": 134, ""tp"": 317}}"
